id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
66,comethru,Jeremy Zucker,electro,chill,0.178,94.0,0.608,0.795,0.607
67,White Ferrari,Frank Ocean,soul,melancholic,0.096,108.7,0.204,0.501,0.77
68,Sweet Caroline,Neil Diamond,singer-songwriter,chill,0.127,63.0,0.578,0.529,0.611
69,Another Love,Tom Odell,chill,moody,0.537,122.8,0.131,0.445,0.695
70,Left and Right (Feat. Jung Kook of BTS),Charlie Puth;Jung Kook;BTS,pop,upbeat,0.592,101.1,0.719,0.881,0.619
71,Starboy,The Weeknd;Daft Punk,pop,groovy,0.587,186.0,0.486,0.679,0.141
72,Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,dance,upbeat,0.601,160.0,0.74,0.801,0.0777
73,No Role Modelz,J. Cole,hip-hop,groovy,0.521,100.0,0.494,0.69,0.324
74,Don’t Blame Me,Taylor Swift,pop,moody,0.534,135.9,0.193,0.615,0.106
75,Night Changes,One Direction,pop,moody,0.52,120.0,0.37,0.672,0.859
76,Heat Waves,Glass Animals,pop,groovy,0.525,80.9,0.531,0.761,0.44
77,"Kesariya (From ""Brahmastra"")",Pritam;Arijit Singh;Amitabh Bhattacharya,indian,groovy,0.574,94.0,0.436,0.577,0.572
78,Ghost Rule,DECO*27,vocaloid,energetic,0.894,105.0,0.472,0.564,0.0279
79,Song 2 - 2012 Remaster,Blur,britpop,happy,0.789,129.8,0.918,0.674,0.0018
80,Exit Music (For A Film),Radiohead,alternative,melancholic,0.276,121.6,0.195,0.293,0.224
81,i'm closing my eyes,potsu,lofi,chill,0.109,134.1,0.546,0.895,0.534
82,Affection,Jinsang,lofi,chill,0.193,84.0,0.607,0.698,0.914
83,Controlla,Idealism,lofi,groovy,0.446,80.0,0.545,0.788,0.545
84,Luv (sic),Nujabes,lofi,happy,0.677,93.0,0.869,0.906,0.437
85,As It Was,Harry Styles,pop,happy,0.731,173.9,0.662,0.52,0.342
86,Caile,Luar La L,latin,energetic,0.756,121.7,0.461,0.704,0.298
87,I Ain't Worried,OneRepublic,rock,happy,0.797,140.0,0.825,0.704,0.0826
88,Sweater Weather,The Neighbourhood,alternative,intense,0.807,124.1,0.398,0.612,0.0495
